طراحی جذاب و زیبای منحصر به فرد سامسونگ از حاشیه باریک بدنه استفاده می‌کند تا تجربه فراگیرتر و گسترده‌تری داشته باشید.,2,Very Positive
به نظر من بهترين گوشي دنيا هست,2,Very Positive
2-استفاده از نمايشگر 15.4 اينچ Retina براي اولين بار 3-فن آوري جديد در سيستم خنک کننده اين دستگاه که ايده اي بسيار خلاقانه داره،  نه تنها در کاهش صدا به روشي ساده بلکه استفاده از روند جريان هوا از دو پهلو که در عمل باعث کاهش ورود گرد و غبار نسبت به روش سنتي به داخل لپ تاپ مي شود4-استفاده از 2 عدد رابط Thunder Bolt که به نظر من فوق العاده است.,2,Very Positive
بیشتر قسمت‌های بدنه‌ی آن هم از مواد قابل بازیافت بسیار عالی ساخته شده‌اند.,2,Very Positive
"من 3 ماهه که الايت دارم خيلي حال کردم با اين کنسول ساعت زيادي هم باهاش بازي ميکنم و خدارو شکر هيچ مشکلي نداشتم  هم گرافيک راضي کننده  اي داره هم دسته هاش خوش دست ترند در بازي فوتبالش از بازي گرزش هم که هر چي بگيم کمه اونم به صورت شبکه تاز ه شماره 3 اونم اومده 

",2,Very Positive
بسيار عاليه ،  اين مشکلاتي که دوستان گفتن خيلي کم پيش مياد و در صورت وقوع نهايتا با 10.000 تومان هزينه و عوض کردن قطعه (مگنت يا درام) مثل روز اولش مي شه.,2,Very Positive
از هر نظر 100 درصد عاليست.,2,Very Positive
طراحی این گوشی بسیار زیبا و خوش دست بوده و به دلیل وزن بسیار سبکی که دارد،  نگه داشتن آن در دست بسیار لذت بخش است.,2,Very Positive
بدنه به طرز عجیبی اثر انگشت را به خود جذب نمی‌کند و این مسئله بسیار خوب است چرا که کمتر احتیاج به تمیز کردن بدنه‌ی نوت‌بوک پیدا می‌کنید.,2,Very Positive
گوشي بسيار مناسب و قدرتمنديه.,2,Very Positive
کيبوردش واقعا عاليه.,2,Very Positive
خيلي عالي هست.,2,Very Positive
264 را نیز دارد که عالیست.,2,Very Positive
برخی کمپانی ها با تولید اسکنرهای بسیار کوچک که تحت عنوان اسکنرهای دستی به بازار معرفی شدند توانستند کمک بسیار شایانی به افراد مختلف بکنند.,2,Very Positive
"ميخوام بگم تو خريدش اصلا شک نکنيد 

 گوشي فوق العاده ايه از هرنظر !",2,Very Positive
عاليه.,2,Very Positive
لنزی که بر روی P520 استفاده شده دقیقا همانی است که بر روی مدل پیشین هم وجود داشت.,0,Neutral
HP در سال 2009 برای اولین بار لپ‌تاپ‌های بیزینسی ProBook S را معرفی کرد.,0,Neutral
در ادامه بیشتر توضیح می‌دهیم.,0,Neutral
"درايو نوري

درايو نوري اين دستگاه،  با کنترلر SATA به کنسول متصل مي‌شود و حداکثر از سرعت ۲۱X پشتيباني مي‌کند.",0,Neutral
این صفحه‌ی نمایش 10.1 اینچی،  از نوع IPS LCD می‌باشد که رزولوشن آن نیز 800×1280 پیکسل است.,0,Neutral
این پویشگرهای دستی در دو مدل به بازار معرفی شده اند.,0,Neutral
در قسمت جلو نیز یک دوربین 2 مگاپیکسلی برای مکالمه‌ی تصویری دارد.,0,Neutral
