Negative,هنگام تفت دادن گوشت بوی بسیار بسیار بدی فضای آشپزخانه را پر کرد و چربیه گوشت زیاد بود و کاملا مشخص بود که کیفیت گوشت بسیار پایین می باشد
Negative,من داخل ۱۰ تا از تخم مرغ ها رگه ی خون پیدا کردم، جوری که از اون موقع دیگه دلم نیومد تخم مرغ بخورم! معلومه که کارخونش اصلا مجهز به دستگاه نیست و همه کاراشون به روش قدیمی مرغداری هاس. هیچ تخم مرغی واقعا تلاونگ نمیشه
Negative,با توجه به طعم نسبتا گس چای بعیده به راحتی جا بیفته. در واقع شبیه چای سبزه.. با این تفاوت که پودر شده. مقدار کمی در هر ساشه هم‌ داره
Negative,افتضاح بود،بوی ضحم میداد و قسمتهایی از ماهی تیره بود،باعث شد کلا از تن ماهی بدم بیاد
Negative,قیمت اش ۹۸۰۰ بود ظرف یک ماه کردنش ۱۸۹۰۰ دیگه ارزش خرید نداره مگه میشه ۱۰۰ درصد یه کالا رو قیمت اش رو بالا ببرن؟!
Negative,من اصلا راضی نبودم. اصلا حس یه ادامس رو نمیده.
Negative,هیچ شباهتی به طعم همیشگی اورنجینا که سالها خریدم نداره بی مزه و خیلی خیلی کم شیرین و بی کیفیت واقعا تعجب کردم و فکر کردم تاریخ گذشته اس ولی نبود و افت شدید کیفیت داشت
Negative,انتظارم از یه مربای فرانسوی با این حجم و این قیمت، ببشتر بود
Negative,توصیه نمیکنم چون با تعریف ارائه شده متفاوت هست
Negative,افتضاح تر ازین نمیشه.....۱۰ تومن واسه ۱۱ تا دونه ادامس؟بسته بندی فاجعه....بدون شم فیک بود ...معلوم نیست کجا پرش کردن.....چاپ روش کمرنگ و پلاستیک بی کیفیت.مزه ادامس شیک میده و مزش تو پنج دقیقه میره
Negative,با مارک های دیگه نمیشه مقایس کرد متوسط به پایین
Negative,بنظرم اگه مزه قالب تن ماهی نداشت بهتر بود توقع داشتم مزه سبزیجاتش قالب باشه
Negative,هیچ طعم ومزه نداره قهوهدهای مثله روبوستا یا قهکه های معمولی خیلی بهترن
Negative,طعمش رو نمپسندیم. نسبت به برندای دیگه با یک نوع پخت، نرم از آب درمیاد!
Negative,هم گرونه هم خیلی بوی بدی داره بوی مونده میده
Negative,با وجود اینکه تخم مرغ ها در سایز مناسبی بود اما متاسفانه دو تا از آنها شکسته بود.
Positive,ماهی خوشمزه و خوبی بوده و خرید آن با توجه به قیمت های تره بار مقرون به صرفه است.
Positive,بیسکوئیتش پتی بوره شکلات سفیدش با طعم توت فرنگیه که دونه هاش هم داخلش مشخصه خوشمزه بود
Positive,مهیا پروتئین بهترین برند مواد پروتئینی است و کیفیت و طعم خوبی دارد
Positive,طعم خوب نعناع با شکلات تلخ خیلی خوشمزه شده و به همراه چایی خیلی می چسبه
Positive,تو این شرایط فقط میشه به محصولات بسته بندی اعتماد کرد تازه و خوشمزه بود
Positive,سلام اگه واقعا روغن کنجد اصل باشه که خیلی ارزشمنده. ولی به هر حال کیفیت خوب و بالایی داره و هر چند که قیمت آن بالاست اما غذا رو خیلی خوشمزه میکنه.
Positive,سلام و خسته نباشید خداقوت بسته بندی ارسال در حد فوق عالی
Positive,نسبت به برندهای دیگه مزه شیرینتر و طبیعی تری داره با توجه به قیمت از بهترین ها هست
Positive,من چند وقتی هست که توسط یکی از همکارانم از این قهوه استفاده میکنم قهوه خیلی خوب و خوش طعمی هست و انرژی بالایی صبح به شما میدهد به نظر من استفاده از این نوع محصول بسیار جالب هست و از خریدن آن پشیمان نخواهید شد ،
Positive,یک محصول ایرانی خوش مزه و با کیفیت. حتما تجربه کنید
Positive,خیلی خوبه قیمتش هم مناسب بود مخلوط واقعی هست نه از هرکدوم چندتا ارزش غذایی بالایی داره
Positive,کیفیت خوب است اما ضخامتش زیاد است و خوب مغز پخت ننی شود
Positive,واقعا لذیذ با طعمی عالی یک بار امتحان کنید به حرف من میرسید
Positive,قبلا البالو شو خریده بودم که خیلی راضی بودم که این باز 6ام هست که میخرم و راضی هستم
Positive,یکم سفت بود ولی خوشمزه بود.جالب بود که کوچولو کوچولوئه بیسکوییتها
Positive,همیشه از خرید گوشتهای مهیا راضی بودم ، همیشه به روز تحویل میدادم ... اینبار برخلاف همیشه تاریخ تولیدش ۴۸ ساعت قبل بود ... یکم دلخور شدم ، ولی بازش کردم بو نمی‌داد ... بیخیال شدم ، استفاده کردم ...
Neutral,تعداد شیر های پرچرب کمتر از کم چرب بود ۴ تا کم چرب بود و ۲ تا پر چرب
Neutral,شربت سکنجبین از قدیم مکمل کاهو بوده است ، کاهو سکنجبین یک دسر بوده ، قدیم وقتیکه در بهار میوه کم بود برای تامین فیبر و ویتامین سی و ... خیلی استفاده می نمودیم .
Neutral,بنظرم جزو محصولات تراریخته باشه دقت کنید به موادش اول لطفا. مطمئن نیستم البته
Neutral,نوشابه های عالیس شیرین تر و کم گاز ترن نسبت به بقیه برندهای نوشابه
Neutral,بهرحال نوشابه و عوارضشو همه می دونیم ولی دیگه ادمیه و بعضی وقتا هوس چیزای بدم می کنه
Neutral,بیرون از یخچال هم که باشه دونه های جامد ازش بیرون میاد
Neutral,با توجه به گرانی ماهی تازه و مشکلات تهیه در این شرایط خرید تن به صرفه تره
Neutral,حتما از روغنهای دارای ویتامین دی استفاده کنید چون بدن به این ویتامین احتیاج شدیدی دارد
Neutral,اگه از کالای مورد نظر به اندازه کافی شناخت داشته باشی خرید اینترنتی رو پیشنهاد میدم
Neutral,بیسکویت رژیمی است فقط حتما در شگفت انگیز بخرید تا به صرفه باشد
Neutral,حتما باید خنک بازش کنید در غیر این صورت سرریز می شود
Neutral,خواهشا دوباره تخفیف ویژه بگذارید تا چند پک سفارش بدیم
Neutral,دلیل انتخابم:بر روی محصول عنوان شده است بدون مواد نگهدارنده
Neutral,دونه هاش خیلی درشته وبعداز اینکه تو آب خیسونده میشه ویگه میشن اندازه فندق
Neutral,با بقیه چایی ها هیچ فرقی نداره چه طعم چه رنگ
Neutral,من برای سالاد ماکارونی خریدم اما خیلی برای اون کار مناسب نیست. بیشتر برای تهیه پاستا به کار میاد.
